Node_ID,Centroide,UF
17184,Glória de Dourados,MS
17185,Deodápolis,MS
17186,Novo Horizonte do Sul,MS
17187,Ivinhema,MS
17188,Angélica,MS
17189,Nova Alvorada do Sul,MS
17190,Santa Cruz de Monte Castelo,PR
17191,São Pedro do Paraná,PR
17192,Porto Rico,PR
17193,Santa Isabel do Ivaí,PR
17194,Loanda,PR
17195,Marilena,PR
17196,Nova Londrina,PR
17197,Rosana,SP
17198,Taquarussu,MS
17199,Batayporã,MS
17200,Nova Andradina,MS
17201,Planaltina do Paraná,PR
17202,Itaúna do Sul,PR
17203,Diamante do Norte,PR
17204,Guairaçá,PR
17205,Terra Rica,PR
17206,Euclides da Cunha Paulista,SP
17207,Anaurilândia,MS
17208,Santa Rita do Pardo,MS
17209,Marquinho,PR
17210,Palmital,PR
17211,Mato Rico,PR
17212,Roncador,PR
17213,Luiziana,PR
17214,Iretama,PR
17215,Nova Tebas,PR
17216,Godoy Moreira,PR
17217,Campina do Simão,PR
17218,Santa Maria do Oeste,PR
17219,Boa Ventura de São Roque,PR
17220,Pitanga,PR
17221,Turvo,PR
17222,Manoel Ribas,PR
17223,Arapuã,PR
17224,Ivaiporã,PR
17225,Jardim Alegre,PR
17226,Ariranha do Ivaí,PR
17227,Grandes Rios,PR
17228,Campo Mourão,PR
17229,Peabiru,PR
17230,Engenheiro Beltrão,PR
17231,Ivatuba,PR
17232,Corumbataí do Sul,PR
17233,Barbosa Ferraz,PR
17234,Fênix,PR
17235,Quinta do Sol,PR
17236,Floresta,PR
17237,Itambé,PR
17238,Doutor Camargo,PR
17239,São Jorge do Ivaí,PR
17240,Ourizona,PR
17241,Floraí,PR
17242,Alto Paraná,PR
17243,Nova Esperança,PR
17244,Paiçandu,PR
17245,Mandaguaçu,PR
17246,Maringá,PR
17247,Presidente Castelo Branco,PR
17248,Uniflor,PR
17249,Atalaia,PR
17250,Ângulo,PR
17251,Flórida,PR
17252,São Pedro do Ivaí,PR
17253,São João do Ivaí,PR
17254,Lunardelli,PR
17255,Lidianópolis,PR
17256,Kaloré,PR
17257,Bom Sucesso,PR
17258,Jandaia do Sul,PR
17259,Borrazópolis,PR
17260,Cruzmaltina,PR
17261,Marumbi,PR
17262,Novo Itacolomi,PR
17263,Rio Bom,PR
17264,Marialva,PR
17265,Sarandi,PR
17266,Mandaguari,PR
